Ban move in direction: Down if left column locked -> Try move in direction: Left if produces a left merge -> Ban move in direction: Right if left column locked -> Try move in direction: Up if produces a left merge,7260,6020,5944,3128,11832,3276,4124,11896,7484,4360,8312,3804,1816,1912,3532,8544,1804,1784,1628,6612,4160,6488,2192,15948,7096,7128,2900,1384,1496,1408,3532,6376,2072,3544,7448,4168,1404,2968,1532,1944,3456,3432,2312,3400,15004,6328,1864,2572,5580,6588,2560,5444,1788,4312,4476,4488,1260,1836,2180,4700,1944,3280,7420,14600,2620,5404,8168,3084,7384,4012,6024,7644,8140,3692,3324,5220,6028,3836,7724,3880,3400,1796,6940,3180,5848,3532,3532,1556,6668,6984,7612,8772,3612,3256,7484,5740,2520,6680,11208,7164,5100
Ban move in direction: Right if left column locked -> Try move in direction: Left if produces a left merge -> Ban move in direction: Left if left column locked -> Try move in direction: Up if produces a left merge,8100,3292,13032,4168,3720,6488,7100,13352,7208,1824,7420,4252,7404,4184,6344,2528,13656,3544,2652,3180,6792,6652,4500,3628,2780,12644,3708,2100,4200,1868,5068,9568,6152,7432,6204,6632,3688,3308,3716,14488,1856,5400,3768,3768,4372,6072,8316,3048,12764,4104,4700,7480,3016,7176,6040,3676,7064,3740,5980,7392,7228,3728,2812,1200,3884,3036,3324,3192,5356,3084,7432,4748,7804,5836,6940,2296,3688,4296,4152,4488,13320,4488,1616,2400,6748,7432,6364,8728,2824,7488,5092,5192,6668,6264,4688,1756,6700,3720,2480,8444,7716
Ban move in direction: Up if left column locked -> Try move in direction: Left if produces a left merge -> Try move in direction: Down if produces a left merge -> Try move in direction: Up if merge possible,2444,5224,7324,5468,7608,5736,3724,5384,11532,12028,6620,6936,10764,3640,3652,9244,3628,13232,3364,10796,3388,3960,3432,6040,7260,3340,5692,4500,3324,5184,6860,3880,7064,7576,4964,13268,6900,12716,5224,7992,1872,7700,3564,6788,9632,5960,5148,5340,7880,3336,3352,7144,3284,3336,1584,3340,3288,1472,4364,2892,11448,5320,2572,1432,3256,4040,1304,7352,2892,6040,6616,6124,5280,2600,1920,1504,3660,7340,2572,10264,7288,3696,6984,2396,2984,3564,4772,1772,6856,5596,3824,5368,3544,5900,6880,2764,7548,7564,3496,3352,1852
Try move in direction: Left if merge possible -> Try move in direction: Up if produces a left merge,4776,6636,7992,6968,4168,8296,9804,4664,8488,8136,3848,7252,8136,9132,11608,4636,7852,6228,1700,11020,7608,6212,11340,4664,14248,9816,4500,8888,7692,6520,7700,4376,9444,3600,9604,2880,3456,7556,8632,3900,17668,6844,9884,12676,9572,7164,6656,7384,4748,5320,4520,4292,7796,8580,8264,6284,7608,3432,9752,4956,2668,3732,8740,7816,3448,10988,14296,5304,5520,5160,9288,13532,7240,11676,7896,9688,6588,5412,6476,8964,8604,8344,3000,4732,5980,11020,3760,5836,13688,5324,4312,2744,4344,14012,8264,9368,13644,3796,13120,1884,8564
Try move in direction: Left if merge possible -> Try move in direction: Down if produces a left merge -> Try move in direction: Up if produces a left merge,7804,5692,6728,14184,5592,3852,9896,9080,7532,5496,8388,13496,13368,12648,6652,6028,9356,4676,9400,6924,4180,7480,13980,14724,7572,14680,4224,15996,6332,11740,8968,8524,16760,9892,4412,1864,7868,8680,6052,5128,17932,3816,4764,3416,8088,9452,8408,7640,8892,14976,14756,2584,4600,9512,6040,5904,9816,7436,4936,6560,7516,8728,9192,3948,8580,8248,14280,13780,8040,9312,8872,10052,5520,7080,9220,7828,5108,7576,7688,11784,13816,8440,9928,8392,7520,12792,8140,4484,9052,7568,7676,7800,8536,8636,8664,7812,8988,6632,6348,7452,4044
Try move in direction: Left if merge possible -> Try move in direction: Up if produces a left merge -> Try move in direction: Left if produces a left merge,4324,7316,11928,15032,4108,9604,6840,10156,6472,9656,3660,10804,5444,9500,7256,9544,6588,8312,7128,12548,6472,7436,8148,8772,4292,7656,4552,6936,6316,4472,8724,10748,4564,3800,18872,7964,3732,8132,7912,9992,10636,7976,7420,2592,7524,8136,3736,8500,8840,7396,8656,5412,4668,3608,11224,2696,5844,8148,6264,3852,11640,3612,6028,8904,1948,12372,14340,4316,8088,9480,16536,6596,4112,6508,3912,4328,7844,12808,4692,8500,12524,4492,6676,4140,7864,5528,10004,7508,2380,4632,4804,7052,8312,3452,7636,10052,1196,12896,5960,5060,12808
Try move in direction: Left if produces a left merge -> Try move in direction: Left if merge possible -> Try move in direction: Up if produces a left merge,7880,7892,8468,5128,4644,5256,7692,8468,8152,3800,4988,8248,8408,9752,7048,8456,12124,4360,8280,8184,8504,12616,9944,6756,5208,4680,5912,8196,4264,5288,3988,8660,8996,2684,5868,7604,6216,1416,4776,14212,5996,8116,5916,6712,2828,8996,7692,9628,4552,7592,8092,8100,8772,5912,6216,6220,9284,5388,6028,4360,4556,7384,7048,8060,13236,2916,12540,6008,4572,3612,4556,8740,6476,5508,11204,2956,6892,7508,4808,11784,11932,8660,4676,13212,13516,3848,8088,8316,5220,2360,8028,9916,4696,1372,9756,8692,8196,6228,9228,8840,6656
Try move in direction: Left if merge possible -> Try move in direction: Left if produces a left merge -> Try move in direction: Up if produces a left merge,8996,5116,3764,8136,7304,7768,16024,5096,5332,6312,5776,3420,12664,6536,6608,7300,6472,5944,5844,8680,9912,9480,9220,4188,6280,6664,7172,7324,8328,7864,3852,6620,7572,7608,13244,3340,5944,7496,6156,8856,6676,4216,4056,5832,8456,4900,4996,6984,6032,4556,3928,4452,8468,7528,7284,7896,8488,7112,5784,5748,3724,3656,12920,6300,4392,6484,9492,15832,7780,7692,7148,9748,7328,11592,9604,8832,15768,6012,9720,7556,13576,3524,5912,7700,17268,7688,7316,8568,6648,4328,9036,6344,6568,12028,8728,6924,4772,2696,8488,6744,4076
Try move in direction: Left if merge possible -> Try move in direction: Down if produces a left merge -> Try move in direction: Up if produces a left merge -> Try move in direction: Left if produces a left merge,4044,4456,6204,7496,8100,6608,13656,5012,4472,7528,4584,4300,6936,7952,11432,3196,9092,6104,16916,7512,18408,8152,15632,6856,17032,3916,4224,7244,7464,9144,4364,10204,7428,6184,6220,3148,5224,5260,4732,4820,5956,9064,4008,7776,10008,10232,6952,13404,5864,14680,9784,14824,8744,9796,9784,4676,7064,8468,20920,8580,15208,6124,7960,3992,8180,6168,4296,7660,16104,5960,5444,13564,7020,8312,10120,5388,3840,9080,9032,8008,6012,6488,16788,10072,12432,12564,13556,24668,13860,7564,13588,8424,7960,6664,4360,3924,12696,8904,8136,6620,7688
Try move in direction: Left if merge possible -> Try move in direction: Up if produces a left merge -> Try move in direction: Down if produces a left merge -> Try move in direction: Left if produces a left merge,8836,17544,8680,10116,9880,11908,9444,4300,12812,7688,4360,4276,7532,6632,11876,9188,5468,9080,12344,6148,7484,7656,4408,6380,7980,9564,13700,4056,6948,6296,8148,4044,12104,15128,6376,6440,3832,7684,7208,8428,7048,7404,4452,6172,13528,4712,11708,6176,4012,7384,4360,9796,9064,3828,6632,8420,8728,7700,4008,8012,8664,12796,17544,3400,8276,9644,8316,1676,4036,7164,15080,18184,9112,9176,9092,7964,4360,3708,5904,10020,1804,12812,2616,4808,7568,4680,8600,6404,8180,12808,16408,6404,10068,7768,4360,8328,4856,9604,7752,10052,4172
