Try move in direction: Down if produces a left merge -> Try move in direction: Right if produces a left merge -> Try move in direction: Left if produces a left merge,976,1532,1312,1744,2516,1172,1420,1532,660,3244,816
Try move in direction: Left if produces a left merge -> Try move in direction: Right if produces a left merge -> Try move in direction: Down if produces a left merge,1876,4012,3064,1992,1992,2312,3012,3852,4788,2620,2464
Try move in direction: Right if produces a left merge -> Try move in direction: Left if produces a left merge -> Try move in direction: Down if produces a left merge,1180,1456,1388,752,1184,1512,1488,1308,1212,2444,1580
Try move in direction: Up if produces a left merge -> Try move in direction: Down if produces a left merge -> Try move in direction: Left if produces a left merge -> Try move in direction: Right if produces a left merge,1176,1004,1520,2312,1272,676,3852,1100,828,752,1676
Try move in direction: Down if produces a left merge -> Try move in direction: Up if produces a left merge -> Try move in direction: Left if produces a left merge -> Try move in direction: Right if produces a left merge,1292,352,1016,1516,832,1584,976,432,1052,1708,3084
Try move in direction: Left if produces a left merge -> Try move in direction: Up if produces a left merge -> Try move in direction: Down if produces a left merge -> Try move in direction: Right if produces a left merge,3212,3868,3356,3148,3368,732,2536,3116,1640,2060,2136
Try move in direction: Up if produces a left merge -> Try move in direction: Left if produces a left merge -> Try move in direction: Down if produces a left merge -> Try move in direction: Right if produces a left merge,1184,1292,4732,1740,1496,1100,2544,1708,2280,4480,3016
Try move in direction: Down if produces a left merge -> Try move in direction: Left if produces a left merge -> Try move in direction: Up if produces a left merge -> Try move in direction: Right if produces a left merge,2488,1900,1376,1664,2172,772,2020,2984,7488,764,592
Try move in direction: Left if produces a left merge -> Try move in direction: Down if produces a left merge -> Try move in direction: Up if produces a left merge -> Try move in direction: Right if produces a left merge,3352,2316,1676,3804,1004,3416,2616,4828,2820,3548,4388
Try move in direction: Right if produces a left merge -> Try move in direction: Down if produces a left merge -> Try move in direction: Up if produces a left merge -> Try move in direction: Left if produces a left merge,2876,2016,2416,1276,432,1488,1536,2416,2196,1052,1684
Try move in direction: Down if produces a left merge -> Try move in direction: Right if produces a left merge -> Try move in direction: Up if produces a left merge -> Try move in direction: Left if produces a left merge,1884,1452,1152,720,3300,1340,2172,2256,1792,1340,644
Try move in direction: Up if produces a left merge -> Try move in direction: Right if produces a left merge -> Try move in direction: Down if produces a left merge -> Try move in direction: Left if produces a left merge,1264,1564,3248,844,1936,1352,1388,572,1492,1376,828
Try move in direction: Right if produces a left merge -> Try move in direction: Up if produces a left merge -> Try move in direction: Down if produces a left merge -> Try move in direction: Left if produces a left merge,1424,1264,1468,1148,408,1532,1552,1440,688,1612,2896
Try move in direction: Down if produces a left merge -> Try move in direction: Up if produces a left merge -> Try move in direction: Right if produces a left merge -> Try move in direction: Left if produces a left merge,1528,332,756,736,512,1328,208,1516,796,1412,1552
Try move in direction: Up if produces a left merge -> Try move in direction: Down if produces a left merge -> Try move in direction: Right if produces a left merge -> Try move in direction: Left if produces a left merge,912,1196,2780,3168,860,2264,2816,1460,720,1572,1540
Try move in direction: Up if produces a left merge -> Try move in direction: Left if produces a left merge -> Try move in direction: Right if produces a left merge -> Try move in direction: Down if produces a left merge,2112,1600,2992,4800,828,2532,6216,852,2416,708,884
Try move in direction: Left if produces a left merge -> Try move in direction: Up if produces a left merge -> Try move in direction: Right if produces a left merge -> Try move in direction: Down if produces a left merge,3788,976,1196,1024,2264,3356,6040,828,1832,688,1464
Try move in direction: Right if produces a left merge -> Try move in direction: Up if produces a left merge -> Try move in direction: Left if produces a left merge -> Try move in direction: Down if produces a left merge,960,1636,1096,1568,1536,2588,1396,1636,1080,1696,3076
Try move in direction: Up if produces a left merge -> Try move in direction: Right if produces a left merge -> Try move in direction: Left if produces a left merge -> Try move in direction: Down if produces a left merge,728,1244,1268,1552,1956,2092,1388,560,400,900,1100
Try move in direction: Left if produces a left merge -> Try move in direction: Right if produces a left merge -> Try move in direction: Up if produces a left merge -> Try move in direction: Down if produces a left merge,4204,3436,1980,908,1568,652,3104,956,6248,3184,6588
Try move in direction: Right if produces a left merge -> Try move in direction: Left if produces a left merge -> Try move in direction: Up if produces a left merge -> Try move in direction: Down if produces a left merge,3124,984,300,1420,1364,256,3396,1452,1404,2124,912
Try move in direction: Right if produces a left merge -> Try move in direction: Left if produces a left merge -> Try move in direction: Down if produces a left merge -> Try move in direction: Up if produces a left merge,916,1344,800,2364,1392,336,2372,464,1708,1436,744
Try move in direction: Left if produces a left merge -> Try move in direction: Right if produces a left merge -> Try move in direction: Down if produces a left merge -> Try move in direction: Up if produces a left merge,1880,2588,3272,1976,2044,1916,1656,1632,2888,1640,3024
Try move in direction: Down if produces a left merge -> Try move in direction: Right if produces a left merge -> Try move in direction: Left if produces a left merge -> Try move in direction: Up if produces a left merge,1504,1536,776,764,1008,2560,1676,1172,1212,2432,1544
Try move in direction: Right if produces a left merge -> Try move in direction: Down if produces a left merge -> Try move in direction: Left if produces a left merge -> Try move in direction: Up if produces a left merge,644,1360,1016,1584,1200,560,2360,652,1516,892,996
Try move in direction: Left if produces a left merge -> Try move in direction: Down if produces a left merge -> Try move in direction: Right if produces a left merge -> Try move in direction: Up if produces a left merge,2856,1288,2124,3672,572,1596,2268,1888,1792,2824,3596
Try move in direction: Down if produces a left merge -> Try move in direction: Left if produces a left merge -> Try move in direction: Right if produces a left merge -> Try move in direction: Up if produces a left merge,688,1440,1800,1760,3676,1676,1900,3132,600,304,1156
Ban move in direction: Up if left column locked,1996,3676,2520,3324,3292,1440,1820,3336,3672,3564,968
Try move in direction: Up if produces a left merge -> Ban move in direction: Up if left column locked,4240,1820,1572,7416,2220,1848,3692,968,4360,2300,3548
Ban move in direction: Up if left column locked -> Try move in direction: Up if produces a left merge,1852,1644,2736,2300,2384,6416,5696,4076,1612,2108,2136
Try move in direction: Down if produces a left merge -> Ban move in direction: Up if left column locked,2380,6220,4680,2936,2920,1676,1712,660,3836,2620,1132
Ban move in direction: Up if left column locked -> Try move in direction: Down if produces a left merge,6524,3832,2696,4376,1720,1612,1404,1672,3536,1992,2376
Try move in direction: Up if produces a left merge -> Try move in direction: Down if produces a left merge -> Ban move in direction: Up if left column locked,1244,2356,1476,2508,720,3800,1532,756,1784,1128,1224
Try move in direction: Down if produces a left merge -> Try move in direction: Up if produces a left merge -> Ban move in direction: Up if left column locked,2032,1424,780,764,2252,280,1580,1020,1644,1868,384
Ban move in direction: Up if left column locked -> Try move in direction: Up if produces a left merge -> Try move in direction: Down if produces a left merge,1772,972,1212,996,1440,3360,532,512,1400,1324,3496
Try move in direction: Up if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Down if produces a left merge,1216,600,1740,1352,3020,604,1864,1724,3484,724,1024
Try move in direction: Down if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Up if produces a left merge,1676,1612,1228,1292,3152,880,3012,5596,784,580,1664
Ban move in direction: Up if left column locked -> Try move in direction: Down if produces a left merge -> Try move in direction: Up if produces a left merge,1392,2616,824,896,796,3340,1420,3240,1648,828,276
Try move in direction: Left if produces a left merge -> Ban move in direction: Up if left column locked,1504,1484,876,3656,1472,3656,1416,2728,1280,3692,1292
Ban move in direction: Up if left column locked -> Try move in direction: Left if produces a left merge,1500,2636,2744,2520,4028,4648,5900,1944,1536,1992,3464
Try move in direction: Up if produces a left merge -> Try move in direction: Left if produces a left merge -> Ban move in direction: Up if left column locked,6700,1980,4172,3292,1756,3644,3368,3532,2584,2724,4364
Try move in direction: Left if produces a left merge -> Try move in direction: Up if produces a left merge -> Ban move in direction: Up if left column locked,3340,2840,4980,3388,7576,4324,6812,2532,3704,2844,7848
Ban move in direction: Up if left column locked -> Try move in direction: Up if produces a left merge -> Try move in direction: Left if produces a left merge,960,1820,2416,2916,2668,3600,4040,7716,1424,1196,3568
Try move in direction: Up if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Left if produces a left merge,4104,2764,5196,14444,3532,3468,4136,2740,2036,5584,2464
Try move in direction: Left if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Up if produces a left merge,2764,4056,1364,2092,2512,5916,1456,6700,6436,3208,6524
Ban move in direction: Up if left column locked -> Try move in direction: Left if produces a left merge -> Try move in direction: Up if produces a left merge,3736,1404,2268,4376,2956,1132,5452,4940,13224,1672,5124
Try move in direction: Down if produces a left merge -> Try move in direction: Left if produces a left merge -> Ban move in direction: Up if left column locked,2188,4616,1228,2620,2092,1992,1784,1072,940,4360,2572
Try move in direction: Left if produces a left merge -> Try move in direction: Down if produces a left merge -> Ban move in direction: Up if left column locked,3016,1536,1916,3340,1676,4380,2904,3656,5964,3516,3464
Ban move in direction: Up if left column locked -> Try move in direction: Down if produces a left merge -> Try move in direction: Left if produces a left merge,3008,3912,5768,4112,1912,3400,1900,4340,1196,1916,6152
Try move in direction: Down if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Left if produces a left merge,1612,3576,4776,2728,1548,4296,3464,2204,3384,3112,3640
Try move in direction: Left if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Down if produces a left merge,2208,3368,1820,1552,5948,1992,2504,2700,1724,5228,4292
Ban move in direction: Up if left column locked -> Try move in direction: Left if produces a left merge -> Try move in direction: Down if produces a left merge,3304,2968,3340,3484,3512,6552,2892,4376,6728,3016,1992
Try move in direction: Up if produces a left merge -> Try move in direction: Down if produces a left merge -> Try move in direction: Left if produces a left merge -> Ban move in direction: Up if left column locked,3152,1852,7612,2808,796,3608,1536,492,368,832,656
Try move in direction: Down if produces a left merge -> Try move in direction: Up if produces a left merge -> Try move in direction: Left if produces a left merge -> Ban move in direction: Up if left column locked,2188,524,2052,176,424,2640,748,688,508,484,2440
Try move in direction: Left if produces a left merge -> Try move in direction: Up if produces a left merge -> Try move in direction: Down if produces a left merge -> Ban move in direction: Up if left column locked,4404,1944,2352,1512,3208,3612,1424,4104,2652,3420,3292
Try move in direction: Up if produces a left merge -> Try move in direction: Left if produces a left merge -> Try move in direction: Down if produces a left merge -> Ban move in direction: Up if left column locked,2060,308,2788,1296,624,3532,3208,1872,3564,3644,1580
Try move in direction: Down if produces a left merge -> Try move in direction: Left if produces a left merge -> Try move in direction: Up if produces a left merge -> Ban move in direction: Up if left column locked,1820,3016,1216,1376,1280,1248,1292,1512,1484,1540,1708
Try move in direction: Left if produces a left merge -> Try move in direction: Down if produces a left merge -> Try move in direction: Up if produces a left merge -> Ban move in direction: Up if left column locked,2748,1532,3368,3036,784,2056,2376,636,4860,4520,2588
Ban move in direction: Up if left column locked -> Try move in direction: Down if produces a left merge -> Try move in direction: Up if produces a left merge -> Try move in direction: Left if produces a left merge,1352,544,1104,3368,3516,3416,1224,1032,288,1436,988
Try move in direction: Down if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Up if produces a left merge -> Try move in direction: Left if produces a left merge,1104,2556,1548,5416,1020,1292,972,1660,464,1308,1308
Try move in direction: Up if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Down if produces a left merge -> Try move in direction: Left if produces a left merge,1548,3372,1788,2264,2780,1804,1432,1596,1036,892,1452
Ban move in direction: Up if left column locked -> Try move in direction: Up if produces a left merge -> Try move in direction: Down if produces a left merge -> Try move in direction: Left if produces a left merge,1488,1472,3372,2456,624,1400,944,3064,2500,804,828
Try move in direction: Down if produces a left merge -> Try move in direction: Up if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Left if produces a left merge,512,896,1500,1372,904,3048,544,1532,3736,3388,648
Try move in direction: Up if produces a left merge -> Try move in direction: Down if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Left if produces a left merge,1604,1488,1116,1704,212,476,524,908,1660,1964,1560
Try move in direction: Up if produces a left merge -> Try move in direction: Left if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Down if produces a left merge,1056,2092,3640,1388,3504,2012,1988,2492,2060,1688,1696
Try move in direction: Left if produces a left merge -> Try move in direction: Up if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Down if produces a left merge,1860,1948,3420,3928,756,5944,3800,4084,4032,2808,4444
Ban move in direction: Up if left column locked -> Try move in direction: Up if produces a left merge -> Try move in direction: Left if produces a left merge -> Try move in direction: Down if produces a left merge,2504,1544,2448,1584,2196,2528,1580,1384,5832,2752,1000
Try move in direction: Up if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Left if produces a left merge -> Try move in direction: Down if produces a left merge,1456,2916,840,1836,3320,2184,2536,1524,576,3304,5160
Try move in direction: Left if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Up if produces a left merge -> Try move in direction: Down if produces a left merge,2860,4872,2860,1328,3028,2684,2928,1052,2316,3528,1644
Ban move in direction: Up if left column locked -> Try move in direction: Left if produces a left merge -> Try move in direction: Up if produces a left merge -> Try move in direction: Down if produces a left merge,1776,2572,4944,3820,3420,2640,1420,652,3420,1736,2556
Ban move in direction: Up if left column locked -> Try move in direction: Left if produces a left merge -> Try move in direction: Down if produces a left merge -> Try move in direction: Up if produces a left merge,3416,3688,3552,1532,2088,3612,3308,1900,4124,3340,4124
Try move in direction: Left if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Down if produces a left merge -> Try move in direction: Up if produces a left merge,1988,1992,3292,3912,3268,3120,3320,1952,4904,2424,2012
Try move in direction: Down if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Left if produces a left merge -> Try move in direction: Up if produces a left merge,1548,3024,972,1092,924,3096,576,3156,1688,3420,1388
Ban move in direction: Up if left column locked -> Try move in direction: Down if produces a left merge -> Try move in direction: Left if produces a left merge -> Try move in direction: Up if produces a left merge,1632,2236,904,1916,3768,3136,3052,1596,1868,1712,3608
Try move in direction: Left if produces a left merge -> Try move in direction: Down if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Up if produces a left merge,1784,2156,2844,3248,2316,3484,6120,3532,2204,7388,3644
Try move in direction: Down if produces a left merge -> Try move in direction: Left if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Up if produces a left merge,2092,6232,656,1100,2956,4936,1784,1244,984,1392,1660
Try move in direction: Right if produces a left merge -> Ban move in direction: Up if left column locked,704,3340,1648,3008,2448,1460,1492,2188,1452,1068,1472
Ban move in direction: Up if left column locked -> Try move in direction: Right if produces a left merge,1616,1436,1204,1444,896,1244,1676,1492,1264,4588,2416
Try move in direction: Up if produces a left merge -> Try move in direction: Right if produces a left merge -> Ban move in direction: Up if left column locked,1548,3244,1352,2220,1636,736,2096,1656,2400,2492,1660
Try move in direction: Right if produces a left merge -> Try move in direction: Up if produces a left merge -> Ban move in direction: Up if left column locked,1004,1860,2700,2444,1864,1492,5268,1052,3208,1280,740
Ban move in direction: Up if left column locked -> Try move in direction: Up if produces a left merge -> Try move in direction: Right if produces a left merge,1508,1452,1612,2524,3264,2712,1544,720,1540,1076,1824
Try move in direction: Up if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Right if produces a left merge,372,780,2092,3212,1792,2684,3240,2460,1456,1616,2396
Try move in direction: Right if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Up if produces a left merge,1228,2856,2296,1132,2444,1644,2840,1696,2680,1084,1676
Ban move in direction: Up if left column locked -> Try move in direction: Right if produces a left merge -> Try move in direction: Up if produces a left merge,1424,2516,1756,1936,1488,1636,608,640,2616,744,1056
Try move in direction: Down if produces a left merge -> Try move in direction: Right if produces a left merge -> Ban move in direction: Up if left column locked,1664,2516,848,1452,1056,816,1392,1416,1132,752,832
Try move in direction: Right if produces a left merge -> Try move in direction: Down if produces a left merge -> Ban move in direction: Up if left column locked,1044,1548,1192,2400,2612,1308,1488,1212,624,1396,1584
Ban move in direction: Up if left column locked -> Try move in direction: Down if produces a left merge -> Try move in direction: Right if produces a left merge,864,1348,1836,2572,856,1556,1576,568,3260,1084,2444
